City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,paita,-5.0892,-81.1144,68.47,77,100,15.46,PE,1630188056
84,nova russas,-4.7067,-40.5631,85.68,26,100,5.66,BR,1630188056
85,kruisfontein,-34.0033,24.7314,45.88,73,28,7.78,ZA,1630188057
86,faanui,-16.4833,-151.75,79.39,73,14,6.4,PF,1630188057
87,samarai,-10.6167,150.6667,79.84,86,76,13.89,PG,1630188057
88,krasnyy yar,46.5331,48.3456,75.13,40,0,8.61,RU,1630188058
89,shiraz,29.6036,52.5388,74.64,22,0,13.78,IR,1630188055
90,jamestown,42.097,-79.2353,85.84,72,44,5.99,US,1630188058
91,chuy,-33.6971,-53.4616,54.01,80,100,8.5,UY,1630188059
92,nyurba,63.2842,118.3319,54.01,73,100,7.49,RU,1630188059
93,georgetown,5.4112,100.3354,80.53,87,20,3.44,MY,1630188049
94,ahipara,-35.1667,173.1667,59.85,83,58,8.88,NZ,1630188060
95,san jose,37.3394,-121.895,107.49,21,0,1.01,US,1630187961
96,ribeira grande,38.5167,-28.7,72.73,87,13,15.01,PT,1630188061
97,waynesboro,38.0685,-78.8895,92.88,58,1,5.75,US,1630188018
98,codrington,-38.2667,141.9667,45.81,95,88,9.8,AU,1630188061
99,komsomolskiy,40.4272,71.7189,77.72,25,4,4.61,UZ,1630188062
100,sitio novo do tocantins,-5.5183,-47.4611,88.99,32,50,4.7,BR,1630188062
101,kapaa,22.0752,-159.319,81.48,59,2,4.0,US,1630188063
102,kavieng,-2.5744,150.7967,82.98,76,100,11.86,PG,1630188063
103,dikson,73.5069,80.5464,39.09,78,100,21.72,RU,1630188064
104,qaqortoq,60.7167,-46.0333,48.7,64,49,1.34,GL,1630188064
105,san jose de rio tinto,14.9333,-85.7,82.53,75,64,5.59,HN,1630188065
106,lorengau,-2.0226,147.2712,83.41,74,80,10.27,PG,1630188065
107,upernavik,72.7868,-56.1549,37.83,74,65,7.14,GL,1630188065
108,portland,45.5234,-122.6762,89.76,36,3,3.0,US,1630187821
109,ciudad bolivar,8.1222,-63.5497,78.35,85,88,3.04,VE,1630188066
110,mayumba,-3.432,10.6554,74.21,90,100,8.1,GA,1630188066
111,mataura,-46.1927,168.8643,45.48,89,100,1.83,NZ,1630188067
112,longyearbyen,78.2186,15.6401,40.84,81,75,1.14,SJ,1630188054
113,kununurra,-15.7667,128.7333,57.18,82,99,2.3,AU,1630187995
114,new amsterdam,6.25,-57.5167,77.72,92,72,3.91,GY,1630188067
115,port alfred,-33.5906,26.891,49.78,76,59,10.45,ZA,1630188068
116,fairmont,39.4851,-80.1426,90.7,72,71,2.3,US,1630188069
117,grootfontein,-19.5667,18.1167,50.67,17,0,11.65,NA,1630188069
118,sherlovaya gora,50.5667,116.25,48.56,68,5,1.97,RU,1630188069
119,broken hill,-31.95,141.4333,44.31,70,40,6.91,AU,1630187879
120,manasa,24.4837,75.2687,75.7,83,80,7.36,IN,1630188070
121,susanville,40.4163,-120.653,87.82,16,1,1.99,US,1630188070
122,miramar,25.9873,-80.2323,90.01,72,20,11.5,US,1630188071
123,provideniya,64.3833,-173.3,48.97,96,100,1.48,RU,1630188071
124,ambilobe,-13.2,49.05,67.37,84,59,1.74,MG,1630188071
125,cabra,37.4725,-4.4421,78.24,66,21,4.34,ES,1630188072
126,iskitim,54.6366,83.3045,62.42,94,48,7.4,RU,1630188072
127,tabou,4.423,-7.3528,76.48,85,98,9.64,CI,1630188072
128,doha,25.2867,51.5333,93.18,46,0,1.14,QA,1630187925
129,port blair,11.6667,92.75,79.25,85,100,9.62,IN,1630187950
130,antsla,57.8256,26.5406,62.35,95,100,8.9,EE,1630188073
131,ancud,-41.8697,-73.8203,50.43,96,100,12.86,CL,1630188073
132,hithadhoo,-0.6,73.0833,82.02,73,26,12.66,MV,1630188074
133,dryden,49.7833,-92.7503,71.83,67,100,6.96,CA,1630188074
134,gizo,-8.103,156.8419,81.97,74,66,6.06,SB,1630188074
135,areni,39.7191,45.1799,75.74,46,0,5.53,AM,1630188075
136,awbari,26.5921,12.7805,89.1,14,0,5.97,LY,1630188075
137,weatherford,32.7593,-97.7972,93.47,55,95,1.99,US,1630188076
138,cururupu,-1.8283,-44.8683,77.0,82,80,4.76,BR,1630188076
139,wuhu,31.3366,118.3755,74.62,93,68,4.45,CN,1630188077
140,imbituba,-28.24,-48.6703,61.12,78,93,5.21,BR,1630188077
141,bougouni,11.417,-7.479,70.72,96,100,10.78,ML,1630188078
142,iqaluit,63.7506,-68.5145,41.11,82,100,2.17,CA,1630188078
143,valparaiso,-33.0393,-71.6273,58.48,74,77,10.85,CL,1630188078
144,jaque,7.5175,-78.1703,80.33,80,100,1.74,PA,1630188079
145,pareora,-44.4871,171.2132,49.03,84,100,6.42,NZ,1630188079
146,tacuarembo,-31.7333,-55.9833,58.33,76,100,6.78,UY,1630188079
147,nikolskoye,59.7035,30.7861,58.89,88,46,5.03,RU,1630188080
148,sinnamary,5.3833,-52.95,79.2,90,51,10.4,GF,1630188080
149,pullman,46.7313,-117.1796,79.84,29,1,8.01,US,1630188036
150,alta floresta,-9.8756,-56.0861,87.66,30,16,5.12,BR,1630188042
151,ponta do sol,32.6667,-17.1,74.03,70,5,5.28,PT,1630188081
152,narok,-1.0783,35.8601,58.82,67,42,4.59,KE,1630188081
153,nam som,17.7704,102.1895,72.37,96,100,2.1,TH,1630188081
154,tasiilaq,65.6145,-37.6368,46.56,99,100,4.7,GL,1630188082
155,khatanga,71.9667,102.5,34.5,98,100,12.21,RU,1630188082
156,northam,51.0333,-4.2167,60.66,93,4,2.59,GB,1630188083
157,alice,27.7523,-98.0697,92.77,49,94,11.03,US,1630188057
158,kawambwa,-9.7915,29.0791,70.99,29,51,3.65,ZM,1630188083
159,half moon bay,37.4636,-122.4286,107.55,29,1,10.36,US,1630187881
160,margate,51.3813,1.3862,60.87,79,15,1.99,GB,1630188065
161,labuan,5.2767,115.2417,75.36,82,100,9.93,MY,1630188084
162,bombay,19.0144,72.8479,82.38,83,75,4.61,IN,1630187898
163,katsuura,35.1333,140.3,82.51,87,8,12.19,JP,1630188084
164,bengkulu,-3.8004,102.2655,74.48,88,100,3.87,ID,1630188085
165,tiksi,71.6872,128.8694,35.71,98,100,19.26,RU,1630188085
166,gigmoto,13.7796,124.39,80.65,83,100,4.68,PH,1630188086
167,lakatoro,-16.0999,167.4164,79.09,69,38,12.44,VU,1630188086
168,tra vinh,9.9347,106.3453,75.88,91,100,3.94,VN,1630188086
169,asau,46.4333,26.4,58.95,93,100,0.94,RO,1630188087
170,solnechnyy,50.7214,136.6319,54.5,96,100,3.89,RU,1630188087
171,pevek,69.7008,170.3133,32.97,76,59,8.25,RU,1630188087
172,san quintin,30.4833,-115.95,76.48,70,16,12.39,MX,1630188088
173,belaya gora,68.5333,146.4167,43.47,83,100,4.29,RU,1630188088
174,usak,38.5,29.4167,71.29,43,0,5.64,TR,1630188089
175,saskylakh,71.9167,114.0833,35.46,98,100,11.18,RU,1630188089
176,klaksvik,62.2266,-6.589,52.72,90,82,11.45,FO,1630188089
177,miraflores,19.2167,-98.8083,61.75,82,100,4.32,MX,1630188090
178,kaitangata,-46.2817,169.8464,45.88,83,100,4.97,NZ,1630188058
179,husavik,66.0449,-17.3389,52.16,81,92,1.19,IS,1630188090
180,bonnyville,54.2668,-110.735,71.4,49,64,5.46,CA,1630187990
181,barrow,71.2906,-156.7887,32.02,74,90,14.97,US,1630188091
182,tura,25.5198,90.2201,72.3,97,100,2.3,IN,1630188091
183,bambous virieux,-20.3428,57.7575,71.22,92,100,15.88,MU,1630188092
184,kodiak,57.79,-152.4072,55.83,44,30,9.44,US,1630188092
185,borborema,-21.6197,-49.0736,74.44,54,99,12.28,BR,1630188093
186,hinton,53.4001,-117.5857,67.1,35,98,5.06,CA,1630188093
187,isangel,-19.55,169.2667,76.08,64,6,7.67,VU,1630188093
188,turukhansk,65.8167,87.9833,34.32,82,32,5.75,RU,1630188094
189,barcelos,41.5388,-8.6151,69.28,95,44,2.53,PT,1630188069
190,saint-joseph,-21.3667,55.6167,68.38,91,100,15.01,RE,1630188094
191,yar-sale,66.8333,70.8333,44.62,86,100,16.53,RU,1630188095
192,arman,59.7,150.1667,56.79,84,98,2.17,RU,1630188095
193,opuwo,-18.0607,13.84,66.87,20,0,7.05,NA,1630188095
194,sungairaya,0.7,108.9,77.07,86,98,4.36,ID,1630188096
195,zeya,53.75,127.2667,48.65,94,100,7.36,RU,1630188096
196,torbay,47.6666,-52.7314,56.28,91,75,20.71,CA,1630188097
197,morondava,-20.2833,44.2833,70.54,76,0,8.21,MG,1630188097
198,kahului,20.8947,-156.47,79.54,66,3,7.76,US,1630188098
199,te anau,-45.4167,167.7167,44.8,96,100,2.24,NZ,1630188098
200,carnarvon,-24.8667,113.6333,62.37,50,62,11.59,AU,1630188098
201,bilibino,68.0546,166.4372,43.7,60,100,2.89,RU,1630188099
202,rock springs,41.5875,-109.2029,77.05,16,0,14.0,US,1630187927
203,eenhana,-17.4667,16.3333,63.91,28,0,8.77,NA,1630188099
204,abu samrah,35.3029,37.1841,81.07,37,11,6.89,SY,1630188100
205,manzhouli,49.6,117.4333,51.73,68,49,5.48,CN,1630188100
206,dingtao,35.0683,115.5625,67.96,99,100,3.87,CN,1630188101
207,bolivar,37.6145,-93.4105,90.59,60,84,6.67,US,1630188101
208,frutal,-20.0247,-48.9406,80.76,35,34,7.78,BR,1630188101
209,castrillon,43.3979,-6.7922,63.14,85,100,2.91,ES,1630188102
210,fuerte olimpo,-21.0415,-57.8738,73.24,71,100,1.41,PY,1630188102
211,leh,34.1667,77.5833,54.19,58,74,6.13,IN,1630188102
212,nhulunbuy,-12.2333,136.7667,77.61,65,90,5.75,AU,1630188103
213,mehamn,71.0357,27.8492,44.96,78,99,11.52,NO,1630188103
214,westport,41.1415,-73.3579,73.06,81,43,1.01,US,1630188070
215,port elizabeth,-33.918,25.5701,48.09,72,53,7.11,ZA,1630188103
216,puerto ayora,-0.7393,-90.3518,70.56,88,97,5.99,EC,1630188104
217,carrefour,18.5411,-72.3992,88.56,58,50,1.86,HT,1630188104
218,arlit,18.7369,7.3853,97.25,23,72,4.45,NE,1630188104
219,nandi,13.3855,77.6984,67.6,94,100,8.28,IN,1630188105
220,gat,31.61,34.7642,79.48,77,0,4.18,IL,1630188105
221,kalmunai,7.4167,81.8167,80.06,67,87,2.93,LK,1630188106
222,porto novo,6.4965,2.6036,76.62,90,99,10.25,BJ,1630188106
223,nouadhibou,20.931,-17.0347,72.34,84,6,11.1,MR,1630188106
224,saint-philippe,-21.3585,55.7679,69.39,93,100,16.44,RE,1630188107
225,los andes,-32.8337,-70.5983,63.95,51,100,1.48,CL,1630188107
226,hirara,24.8,125.2833,79.07,94,20,3.44,JP,1630188108
227,berlevag,70.8578,29.0864,45.28,78,100,13.65,NO,1630188108
228,flin flon,54.7682,-101.865,60.64,88,75,6.91,CA,1630188109
229,monduli,-3.3,36.45,62.08,53,1,8.23,TZ,1630188109
230,ilulissat,69.2167,-51.1,39.22,75,66,5.75,GL,1630188109
231,denpasar,-8.65,115.2167,78.46,94,75,2.3,ID,1630187939
